,shelters.NAME,shelters.LONGITUDE,shelters.LATITUDE,shelters.CITY,shelters.ORG_NAME,shelters.ADDRLN1,shelters.PHONES,advocacy,child_care,HIV.AIDS,holiday_assistance,interpreter,personal_goods,non_profit_organization,substance_abuse,youth_services,counseling_services,domestic_violence,health_services,shelter,food_supply,recreational_services,Welfare_to_work,Adults.Education,financial_assistance,transportation,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,shelters.SPA
1,Special Service For Groups -  Project 180,-118.2431521,34.04521897,Los Angeles,,420 S. San Pedro,"FAX (213) 621-4155,  Service/Intake (213) 620-5712",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,4
2,Los Angeles Centers For Alcohol And Drug Abuse - Homeless Outreach Project,-118.2403891,34.04404897,Los Angeles,,612 E. 4th St.,Service/Intake (213) 626-6411,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,Society Of St. Vincent De Paul - Social Services Department,-118.2461261,34.04600597,Los Angeles,www.svdpla.org,231 Winston St.,"FAX (213) 620-9141,  Service/Intake and Administration (213) 229-9971",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4
4,Year Round Shelter - Sro Housing,-118.2447681,34.04465597,Los Angeles,www.lahsa.org,403 E. 5th St.,Service/Intake and Administration (213) 229-9678,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,4
5,Downtown Women's Center,-118.2434033,34.04464353,Los Angeles,www.dwcweb.org,442 S San Pedro St,"Administration (213) 680-0600,  Service/Intake (213) 213-6130,  FAX (213) 680-0844",0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,4
6,Los Angeles Mission,-118.2454261,34.04489597,Los Angeles,www.losangelesmission.org,303 E. 5th St.,"Volunteers Service/Intake (213) 629-1227 Ext.301, Urban Training Institute Service/Intake (213) 629-1227 Ext.387,  Service/Intake and Administration (213) 629-1227, Volunteers Service/Intake (213) 629-1227 Ext.417,  Service/Intake (213) 893-1960,  FAX (21",1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,4
7,Fred Jordan Mission,-118.2418951,34.04333897,Los Angeles,www.fjm.org,445 Towne Ave.,"FAX (626) 332-8759,  Service/Intake and Administration (626) 915-1981,  Service/Intake (213) 489-7763",0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,4
8,Anne Douglas Center Of The Los Angeles Mission,-118.2449741,34.04537297,Los Angeles,www.losangelesmission.org,310 Winston St.,"LA Mission Main Desk Service/Intake (213) 629-1227,  Service/Intake and Administration (213) 614-0743",0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4
9,Santa Anita Family Service,-118.0011961,34.14558097,Monrovia,,605 S. Myrtle Ave.,"Service/Intake and Administration (626) 359-9358,  FAX (626) 358-7647",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
10,Santa Anita Family Service - San Gabriel,-118.0975894,34.10246351,San Gabriel,,206 E Las  Tunas Dr,"Service/Intake (626) 308-1414,  FAX (626) 308-1818",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
11,Children's Hosptial Los Angeles - High Risk Youth Program - Saban Free Clinic,-118.3214731,34.10182297,Los Angeles,,6043 Hollywood Blvd.,"Appointments Service/Intake (323) 653-1990, Saban Free Clinic Admin. Administrative (323) 462-8632, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4
12,My Friend's Place,-118.3170911,34.10149197,Hollywood,www.myfriendsplace.org,5850 Hollywood Blvd.,"Service/Intake and Administration (323) 908-0011 Ext.100, 888-YOUTH-50 Service/Intake and Hotline (888) 968-8450",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4
13,Los Angeles Youth Network - Gower Youth Shelter,-118.3221591,34.09905897,Los Angeles,www.layn.org,1550 N. Gower St.,"FAX (323) 464-4357,  Administrative (323) 467-8466, 24 hours Service/Intake (323) 957-7757,  Administrative (323) 957-7364",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,4
14,Year Round Shelter - Los Angeles Youth Network - Gower,-118.3221587,34.09905913,Los Angeles,,1550 N Gower St,Service/Intake (323) 957-7757,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,4
15,Salvation Army - The Way In,-118.3192561,34.10186297,Hollywood,,5939 Hollywood Blvd.,"FAX (323) 468-8678, 24 Hour Service/Intake and Hotline (323) 469-2946, 24 Hour Service/Intake and Hotline (800) 843-9294",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,4
16,Children's Hosptial Los Angeles - High Risk Youth Program,-118.298445,34.09787918,Los Angeles,,5000 W Sunset Blvd,"Administrative (323) 361-2390, Appointments Service/Intake (323) 653-1990, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,4
