,DR.NUMBER,DATE.REPORTED,DATE.OCCURRED,H,M,AREA.ID,AREA.NAME,REPORTING.DISTRICT,CRIME.CODE,CRIME.CODE.DESCRIPTION,MO.CODES,VICTIM.AGE,VICTIM.SEX,VICTIM.DESCENT,PREMISE.CODE,PREMISE.DESCRIPTION,WEAPON.USED.CODE,WEAPON.DESCRIPTION,STATUS.CODE,STATUS.DESCRIPTION,CRIME.CODE.1,CRIME.CODE.2,CRIME.CODE.3,CRIME.CODE.4,ADDRESS,CROSS.STREET,LOCATION,LATITUDE,LONGITUDE,geometry,index_right,CT10,GEOID10,LABEL,OBJECTID,Shape_STAr,Shape_STLe,X_Center,Y_Center,date_occ_year,date_occ_month,date_occ_day,crime_type,crime_premise,crime_weapon,newdate
1,160101129,8/1/16,8/1/16,13,10,1,Central,147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402 1218 0319 0342 0445,53,M,B,101,STREET,312,PIPE/METAL PIPE,AO,Adult Other,230,998,NA,NA,SAN PEDRO,WINSTON,"(34.0442, -118.2439)",34.0442,-118.2439,POINT (-118.2439 34.0442),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,1,AGGRAVATED ASSAULT,STREET,PIPE,2016 08
2,160120276,8/2/16,8/1/16,22,15,1,Central,157,210,ROBBERY,0305 0344 0445 1218 0342 0429,69,M,B,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,NA,NA,NA,6TH                          ST,CROCKER,"(34.0417, -118.2443)",34.0417,-118.2443,POINT (-118.2443 34.0417),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,1,ROBBERY,STREET,OTHERS,2016 08
3,160120325,8/2/16,8/2/16,19,50,1,Central,156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 1402 0416 1218 0445 1822,49,M,B,517,,312,PIPE/METAL PIPE,AO,Adult Other,230,998,NA,NA,500 S  SAN PEDRO                    ST,,"(34.0437, -118.2455)",34.0437,-118.2455,POINT (-118.2455 34.0437),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,2,AGGRAVATED ASSAULT,OTHERS,PIPE,2016 08
4,160120339,8/2/16,8/2/16,17,0,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0445,28,M,H,102,SIDEWALK,309,BOARD,IC,Invest Cont,230,NA,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,2,AGGRAVATED ASSAULT,SIDEWALK,OTHERS,2016 08
5,160120355,8/2/16,8/2/16,21,15,1,Central,156,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1218 2004,44,F,B,102,SIDEWALK,NA,,AO,Adult Other,626,NA,NA,NA,6TH                          ST,WALL                         ST,"(34.0428, -118.2461)",34.0428,-118.2461,POINT (-118.2461 34.0428),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,2,SIMPLE ASSAULT,SIDEWALK,OTHERS,2016 08
6,160121166,8/14/16,8/3/16,12,0,1,Central,156,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218,46,F,B,101,STREET,NA,,IC,Invest Cont,440,NA,NA,NA,5TH,WALL,"(34.0449, -118.2458)",34.0449,-118.2458,POINT (-118.2458 34.0449),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,3,THEFT,STREET,OTHERS,2016 08
7,160120650,8/6/16,8/4/16,16,0,1,Central,166,624,BATTERY - SIMPLE ASSAULT,1218 2004 0444 0319,61,F,B,507,CONDOMINIUM/TOWNHOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,4,SIMPLE ASSAULT,OTHERS,STRONG-ARM,2016 08
8,160120613,8/6/16,8/6/16,13,25,1,Central,166,624,BATTERY - SIMPLE ASSAULT,1218 0416,64,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,600 S  SAN PEDRO                    ST,,"(34.0421, -118.2469)",34.0421,-118.2469,POINT (-118.2469 34.0421),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,6,SIMPLE ASSAULT,SIDEWALK,STRONG-ARM,2016 08
9,160120679,8/6/16,8/6/16,21,15,1,Central,157,624,BATTERY - SIMPLE ASSAULT,0416 1218,56,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,NA,NA,NA,5TH,SAN PEDRO,"(34.0442, -118.2439)",34.0442,-118.2439,POINT (-118.2439 34.0442),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,6,SIMPLE ASSAULT,SIDEWALK,STRONG-ARM,2016 08
10,160120843,8/9/16,8/7/16,5,0,1,Central,166,220,ATTEMPTED ROBBERY,0416 0337 1218 0202,28,F,B,504,OTHER RESIDENCE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220,NA,NA,NA,600    SAN JULIAN                   ST,,"(34.0428, -118.2461)",34.0428,-118.2461,POINT (-118.2461 34.0428),691,206300,6037206300,2063,693,6637586.944,13167.16573,6487985,1837432,2016,8,7,ROBBERY,OTHERS,STRONG-ARM,2016 08
