LONGITUDE,LATITUDE,OBJECTID_left,SOURCE,EXT_ID,CAT1,CAT2,CAT3,ORG_NAME,NAME,ADDRLN1,ADDRLN2,CITY,STATE,HOURS,PHONES,EMAIL,URL,INFO1,INFO2,POST_ID,DESCRIPTION,ZIP,LINK,USE_TYPE,DATE_UPDATED,DIS_STATUS,POINT_X,POINT_Y,geometry,index_right,CT10,GEOID10,LABEL,OBJECTID_right,Shape_STAr,Shape_STLe,X_Center,Y_Center
-118.2431521,34.04521897,97626377,211,,Social Services,Homeless Shelters and Services,,,Special Service For Groups -  Project 180,420 S. San Pedro,,Los Angeles,CA,"SITE HOURS:  Monday through Friday, 8:30am to 4:30pm. ","FAX (213) 621-4155,  Service/Intake (213) 620-5712",,ssgmain.org/,,,772,"The agency provides advocacy, child care, HIV/AIDS services, holiday assistance, interpreter and translator services, personal goods, services for non-profit organizations, services for older adults, substance abuse services, and youth services in Los Angeles County.",90013,http://egis3.lacounty.gov/lms/?p=772,publish,2013-06-01T11:50:56.000Z,,6488010.523,1838925.547,POINT (-118.2431520565494 34.0452189665425),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.2403891,34.04404897,97679054,211,,Social Services,Homeless Shelters and Services,,,Los Angeles Centers For Alcohol And Drug Abuse - Homeless Outreach Project,612 E. 4th St.,,Los Angeles,CA,,Service/Intake (213) 626-6411,,,,,57298,"The agency provides domestic violence services, HIV/AIDS services, residential treatment for drug abuse services, and substance abuse services for adults and adolescents.",90013,http://egis3.lacounty.gov/lms/?p=57298,publish,2013-06-01T11:50:56.000Z,,6488846.519,1838497.749,POINT (-118.2403890559507 34.04404896709811),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.2461261,34.04600597,97679688,211,,Social Services,Homeless Shelters and Services,,www.svdpla.org,Society Of St. Vincent De Paul - Social Services Department,231 Winston St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","FAX (213) 620-9141,  Service/Intake and Administration (213) 229-9971",,www.svdpla.org,,,57769,The agency provides homeless support services and shelter for people who are primarily in the Skid Row area of downtown Los Angeles.,90013,http://egis3.lacounty.gov/lms/?p=57769,publish,2013-06-01T11:50:56.000Z,,6487110.29,1839214.143,POINT (-118.2461260566815 34.04600596664324),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.2447681,34.04465597,97680073,211,,Social Services,Homeless Shelters and Services,,www.lahsa.org,Year Round Shelter - Sro Housing,403 E. 5th St.,,Los Angeles,CA,"Monday through Friday, 7:00am to 5:00pm. PICK-UP POINTS AND HOURS N/A ",Service/Intake and Administration (213) 229-9678,,www.lahsa.org,,,58184,"The agency provides shelter, motel vouchers and transportation to homeless individuals and families.",90013,http://egis3.lacounty.gov/lms/?p=58184,publish,2013-06-01T11:50:56.000Z,,6487520.478,1838721.849,POINT (-118.2447680566585 34.04465596716784),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.2434033,34.04464353,97680591,211,,Social Services,Homeless Shelters and Services,,www.dwcweb.org,Downtown Women's Center,442 S San Pedro St,,Los Angeles,CA,"Monday through Friday, 6:00am to 4:00pm; Saturday and Sunday, 7:00am to 3:00pm. ","Administration (213) 680-0600,  Service/Intake (213) 213-6130,  FAX (213) 680-0844",,www.dwcweb.org,,,58625,The center provides emergency food and homeless support services for single women and housing for homeless mentally ill and/or adult women in the Skid Row area of Los Angeles.,90013,http://egis3.lacounty.gov/lms/?p=58625,publish,2013-06-01T11:50:56.000Z,,6487933.918,1838716.318,POINT (-118.2434032567134 34.04464352704309),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.2454261,34.04489597,97682048,211,,Social Services,Homeless Shelters and Services,,www.losangelesmission.org,Los Angeles Mission,303 E. 5th St.,,Los Angeles,CA,"SITE HOURS: Monday through Saturday, 6:00am to 4:00pm; Monday through Saturday, 6:00pm to 7:00pm ","Volunteers Service/Intake (213) 629-1227 Ext.301, Urban Training Institute Service/Intake (213) 629-1227 Ext.387,  Service/Intake and Administration (213) 629-1227, Volunteers Service/Intake (213) 629-1227 Ext.417,  Service/Intake (213) 893-1960,  FAX (21",,www.losangelesmission.org,,,60003,"The mission provides a variety of Christian-oriented emergency services including adult education, emergency food, holiday assistance, homeless support services and shelter for homeless men 18 years and older who are in the Central Los Angeles/Skid Row area.",90013,http://egis3.lacounty.gov/lms/?p=60003,publish,2013-06-01T11:50:56.000Z,,6487321.358,1838809.675,POINT (-118.2454260563654 34.04489596659042),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.2418951,34.04333897,97682054,211,,Social Services,Homeless Shelters and Services,,www.fjm.org,Fred Jordan Mission,445 Towne Ave.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","FAX (626) 332-8759,  Service/Intake and Administration (626) 915-1981,  Service/Intake (213) 489-7763",,www.fjm.org,,,60004,"The mission provides emergency food, holiday assistance, personal enrichment, personal goods, shelter for the homeless in the Skid Row area of downtown Los Angeles and volunteer opportunities.",90013,http://egis3.lacounty.gov/lms/?p=60004,publish,2013-06-01T11:50:56.000Z,,6488389.668,1838240.461,POINT (-118.2418950568547 34.04333896658891),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.2449741,34.04537297,97682435,211,,Social Services,Homeless Shelters and Services,,www.losangelesmission.org,Anne Douglas Center Of The Los Angeles Mission,310 Winston St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","LA Mission Main Desk Service/Intake (213) 629-1227,  Service/Intake and Administration (213) 614-0743",,www.losangelesmission.org,,,60318,"The program provides Christian-oriented homeless support services, personal goods and substance abuse services for low-income and homeless women and women with children in the Skid Row area of downtown Los Angeles.",90013,http://egis3.lacounty.gov/lms/?p=60318,publish,2013-06-01T11:50:56.000Z,,6487458.709,1838982.93,POINT (-118.2449740558927 34.04537296693253),1239,206200,6037206200,2062,1241,6229434.999,11677.50641,6488479,1839572
-118.0011961,34.14558097,97626412,211,,Social Services,Homeless Shelters and Services,,,Santa Anita Family Service,605 S. Myrtle Ave.,,Monrovia,CA,,"Service/Intake and Administration (626) 359-9358,  FAX (626) 358-7647",,www.santaanitafamilyservice.org,,,794,"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults.",91016,http://egis3.lacounty.gov/lms/?p=794,publish,2013-06-01T11:50:56.000Z,,6561308.448,1875360.083,POINT (-118.0011960568649 34.14558096728869),1857,431100,6037431100,4311,1859,32457307.39,26322.54248,6562516,1871903
-118.0975894,34.10246351,97626417,211,,Social Services,Homeless Shelters and Services,,,Santa Anita Family Service - San Gabriel,206 E Las  Tunas Dr,,San Gabriel,CA,,"Service/Intake (626) 308-1414,  FAX (626) 308-1818",,www.santaanitafamilyservice.org,,,795,"The agency provides CalFresh services, child abuse services, counseling services, domestic violence services, drug abuse services and services for older adults.",91776,http://egis3.lacounty.gov/lms/?p=795,publish,2013-06-01T11:50:56.000Z,,6532127.092,1859683.18,POINT (-118.0975893571127 34.1024635070498),1712,481102,6037481102,4811.02,1714,6620982.692,11588.56096,6533069,1858729
