"","SPA","SERVICEMONTH","STATUS","Fast","Medium","Slow","VerySlow","grading","totpeople"
"1","2","Jan","Closed",181,141,104,0,0,6549
"2","2","Jan","Pending",1,0,0,0,0,6549
"3","2","Feb","Closed",159,154,131,6,0,6549
"4","2","Feb","Pending",3,0,4,0,0,6549
"5","2","Mar","Closed",236,187,189,4,0,6549
"6","2","Mar","Pending",0,2,2,0,0,6549
"7","2","Apr","Closed",236,179,154,2,0,6549
"8","2","Apr","Pending",5,0,4,0,0,6549
"9","2","May","Closed",255,188,159,6,0,6549
"10","2","May","Pending",2,0,4,0,0,6549
"11","2","Jun","Closed",277,223,177,26,0,6549
"12","2","Jun","Pending",1,3,7,0,0,6549
"13","2","Jul","Closed",205,208,215,105,0,6549
"14","2","Jul","Pending",10,5,14,18,0,6549
"15","2","Aug","Closed",315,264,141,9,0,6549
"16","2","Aug","Pending",2,9,23,2,0,6549
"17","2","Sep","Closed",237,239,95,27,0,6549
"18","2","Sep","Pending",19,26,76,39,0,6549
"19","4","Jan","Closed",213,206,78,21,0,11403
"20","4","Jan","Pending",8,11,2,2,0,11403
"21","4","Feb","Closed",276,230,85,1,0,11403
"22","4","Feb","Pending",18,12,7,0,0,11403
"23","4","Mar","Closed",397,301,116,1,0,11403
"24","4","Mar","Pending",31,33,14,1,0,11403
"25","4","Apr","Closed",298,284,122,2,0,11403
"26","4","Apr","Pending",29,21,25,0,0,11403
"27","4","May","Closed",308,356,103,0,0,11403
"28","4","May","Pending",34,48,37,0,0,11403
"29","4","Jun","Closed",347,287,92,4,0,11403
"30","4","Jun","Pending",108,77,29,1,0,11403
"31","4","Jul","Closed",291,286,105,50,0,11403
"32","4","Jul","Pending",81,55,39,22,0,11403
"33","4","Aug","Closed",306,289,100,48,0,11403
"34","4","Aug","Pending",150,107,59,39,0,11403
"35","4","Sep","Closed",299,290,109,25,0,11403
"36","4","Sep","Pending",170,218,111,36,0,11403
"37","5","Jan","Closed",55,40,12,0,0,4403
"38","5","Feb","Closed",60,49,14,0,0,4403
"39","5","Mar","Closed",81,65,26,1,0,4403
"40","5","Mar","Pending",0,2,0,0,0,4403
"41","5","Apr","Closed",51,47,15,0,0,4403
"42","5","May","Closed",60,67,23,9,0,4403
"43","5","May","Pending",0,1,1,0,0,4403
"44","5","Jun","Closed",83,86,48,2,0,4403
"45","5","Jun","Pending",4,2,1,0,0,4403
"46","5","Jul","Closed",71,78,27,6,0,4403
"47","5","Jul","Pending",3,0,3,2,0,4403
"48","5","Aug","Closed",112,77,26,29,0,4403
"49","5","Aug","Pending",4,13,6,13,0,4403
"50","5","Sep","Closed",122,102,42,5,0,4403
"51","5","Sep","Pending",22,28,16,0,0,4403
"52","6","Jan","Closed",59,89,25,0,0,7683
"53","6","Jan","Pending",4,1,0,0,0,7683
"54","6","Feb","Closed",88,73,22,0,0,7683
"55","6","Feb","Pending",5,6,2,0,0,7683
"56","6","Mar","Closed",105,97,32,1,0,7683
"57","6","Mar","Pending",14,13,2,0,0,7683
"58","6","Apr","Closed",95,91,23,0,0,7683
"59","6","Apr","Pending",12,14,5,0,0,7683
"60","6","May","Closed",86,88,13,0,0,7683
"61","6","May","Pending",21,19,8,0,0,7683
"62","6","Jun","Closed",110,90,26,1,0,7683
"63","6","Jun","Pending",16,19,10,0,0,7683
"64","6","Jul","Closed",107,77,28,35,0,7683
"65","6","Jul","Pending",23,27,9,12,0,7683
"66","6","Aug","Closed",128,106,26,16,0,7683
"67","6","Aug","Pending",35,63,24,30,0,7683
"68","6","Sep","Closed",87,88,29,10,0,7683
"69","6","Sep","Pending",39,47,24,17,0,7683
"70","8","Jan","Closed",31,11,0,0,0,3692
"71","8","Feb","Closed",17,8,2,0,0,3692
"72","8","Mar","Closed",22,14,0,0,0,3692
"73","8","Apr","Closed",28,13,3,0,0,3692
"74","8","May","Closed",30,16,3,0,0,3692
"75","8","Jun","Closed",29,25,0,0,0,3692
"76","8","Jul","Closed",32,15,2,1,0,3692
"77","8","Jul","Pending",0,0,0,8,0,3692
"78","8","Aug","Closed",27,21,5,1,0,3692
"79","8","Aug","Pending",2,1,1,0,0,3692
"80","8","Sep","Closed",23,29,4,0,0,3692
"81","8","Sep","Pending",5,4,3,1,0,3692
